name,kind,width,bp,workloads,policy,cycles,sim_seconds,host_seconds,threads,insts_total,ops_total,insts_t0,ipc_t0,insts_t1,ipc_t1,insts_t2,ipc_t2,insts_t3,ipc_t3,ipc,cpi,ipc_gem5,idle_cycles,cond_predicted,cond_incorrect,cond_mispred_rate,bp_lookups,bp_mispredicted,btb_hits,btb_lookups,commit_branch_mispredicts,mpki,squashed_commit,squashed_decode,squashed_rename,squashed_execute,fetched_insts,rob_full,iq_full,lq_full,sq_full,iew_iq_full,iew_lsq_full,rob_reads,rob_writes,fu_busy_rate,issue_rate,lq_avg_occ,sq_avg_occ,rename_int_lookups,rename_fp_lookups,dcache_misses,dcache_miss_rate,icache_misses,l2_misses,l2_miss_rate,mix_IntAlu,mix_IntMult,mix_IntDiv,mix_FloatAdd,mix_FloatCmp,mix_FloatCvt,mix_FloatMult,mix_FloatMultAcc,mix_FloatDiv,mix_SimdFloatAdd,mix_SimdFloatMult,mix_SimdFloatMultAcc,mix_SimdAlu,mix_SimdMisc,mix_MemRead,mix_MemWrite,mix_FloatMemRead,mix_FloatMemWrite,mix_No_OpClass,program_output
bp_static-t_w4_bsort,bp,4,static-t,bsort,,6833793,0.003417,14.33,1,2581636,4520690,2581636,0.3778,,,,,,,0.3778,2.6471,0.377775,7733,2104105,480387,0.2283,2747583,480387,1784031,2747583,480333,186.058,5899281,359,0,1258480,10145633,33,54,0,5251,2,0,15123482,22319694,0.0,1.381243,0.01,0.02,15985196,54,169,0.000265,177,251,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_static-t_w4_int_alu,bp,4,static-t,int_alu,,1366212,0.000683,4.55,1,3703879,3857012,3703879,2.7111,,,,,,,2.7111,0.3689,2.711057,6197,51167,223,0.0044,51520,223,50804,51520,192,0.052,3183,223,0,209,3707032,150015,43818,0,799,4,0,4418426,7721314,0.0,2.824868,0.0,0.0,7413071,38,106,0.073003,146,166,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_tage_w4_branchy,bp,4,tage,branchy,,4971075,0.002486,12.61,1,3892612,7918953,3892612,0.7831,,,,,,,0.7831,1.2771,0.783052,5660,973397,148732,0.1528,1227879,148732,1202295,1227879,148705,38.202,2146121,269,0,257283,5968835,47,1115,0,98169,2,0,13173632,20725315,0.0,1.926875,0.03,0.04,13683862,60,3937,0.005208,155,1203,0.467729,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_tage_w4_bsort,bp,4,tage,bsort,,1482931,0.000741,5.5,1,2581636,4520690,2581636,1.7409,,,,,,,1.7409,0.5744,1.740901,8188,716090,11594,0.0162,900503,11594,896896,900503,11564,4.479,288324,352,0,19550,2904638,28,74,0,4897,2,0,5381057,9695304,0.0,3.192931,0.05,0.1,5766843,58,177,0.000272,185,253,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_tage_w4_int_alu,bp,4,tage,int_alu,,1365645,0.000683,4.59,1,3703879,3857012,3703879,2.7122,,,,,,,2.7122,0.3687,2.712183,6171,51186,164,0.0032,51571,164,50835,51571,137,0.037,3357,233,0,179,3707002,150016,43810,0,799,2,0,4418076,7721689,0.0,2.826019,0.0,0.0,7412851,40,108,0.077866,148,167,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_tournament_w1_branchy,bp,1,tournament,branchy,,10374131,0.005187,12.25,1,3892612,7918953,3892612,0.3752,,,,,,,0.3752,2.6651,0.375223,7202,673457,155436,0.2308,841721,155436,824630,841721,155387,39.918,462682,66,0,64055,4422365,20,0,0,43388,0,0,10366839,17225983,0.0,0.796487,0.04,0.03,10668069,28,2483,0.003672,117,1198,0.467057,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_tournament_w1_bsort,bp,1,tournament,bsort,,5037165,0.002519,6.59,1,2581636,4520690,2581636,0.5125,,,,,,,0.5125,1.9512,0.512518,9380,692673,35219,0.0508,874446,35219,871314,874446,35150,13.615,160615,85,0,104,2863157,11,1,0,2390,0,0,5027643,9523256,0.0,0.91836,0.07,0.1,5593898,30,131,0.000205,147,242,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_tournament_w1_int_alu,bp,1,tournament,int_alu,,4271922,0.002136,5.21,1,3703879,3857012,3703879,0.867,,,,,,,0.867,1.1534,0.867029,7709,50788,214,0.0042,51065,214,50525,51065,172,0.046,781,59,0,70,3705087,7,0,0,517,0,0,4264118,7716403,0.0,0.903016,0.0,0.0,7409647,30,69,0.051416,115,159,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_tournament_w4_branchy,bp,4,tournament,branchy,,5060608,0.00253,12.47,1,3892612,7918953,3892612,0.7692,,,,,,,0.7692,1.3001,0.769198,5545,986842,155507,0.1576,1247091,155507,1221517,1247091,155486,39.944,2253739,263,0,266252,6069557,64,1099,0,97916,1,2,13342924,20970840,0.0,1.908934,0.03,0.04,13879667,89,3871,0.005089,166,1202,0.467522,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_tournament_w4_bsort,bp,4,tournament,bsort,,1875401,0.000938,6.23,1,2581636,4520690,2581636,1.3766,,,,,,,1.3766,0.7264,1.376578,7837,888567,35597,0.0401,1123160,35597,1119551,1123160,35631,13.802,950613,351,0,54868,3649552,27,37,0,4680,1,0,6284405,11194668,0.0,2.785421,0.05,0.08,6768193,54,155,0.00023,197,253,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
